Term                           IDF                           
снятой                         1.301                         
самоубийство                   1.301                         
вражда                         1.699                         
отличие                        1.0                           
целлюлита                      2.0                           
единственно                    2.0                           
затребовать                    2.0                           
описание                       1.1549                        
замешать                       1.1549                        
инцидент                       1.0458                        
виновный                       1.5229                        
рекорд                         1.699                         
непривлекательный              2.0                           
малограмотный                  2.0                           
ликвидировать                  2.0                           
идиотизм                       1.699                         
самостоятельно                 1.2218                        
врачебный                      2.0                           
трио                           2.0                           
идеалист                       2.0                           
первоклассный                  1.5229                        
педантичный                    2.0                           
сличить                        2.0                           
флоринианка                    2.0                           
отметка                        2.0                           
включение                      1.301                         
периодический                  1.699                         
извратить                      1.699                         
сюжет                          2.0                           
прибывать                      1.301                         
заявлять                       1.3979                        
намеренно                      1.1549                        
пропагандистский               2.0                           
представимый                   1.699                         
икс                            1.699                         
субрадиограмма                 2.0                           
направлять                     1.3979                        
превосходный                   1.3979                        
пропаганда                     1.301                         
поведение                      0.7959                        
основывать                     2.0                           
шантаж                         1.699                         
блеф                           1.699                         
выкуп                          2.0                           
конечный                       0.9208                        
причинять                      0.9208                        
гениально                      2.0                           
перевезти                      1.699                         
доверенный                     1.699                         
пересадить                     2.0                           
посещение                      1.2218                        
возить                         2.0                           
просчёт                        1.699                         
бред                           1.1549                        
сцепить                        1.3979                        
сочинить                       1.3979                        
согнутый                       2.0                           
рявкнуть                       2.0                           
истерический                   2.0                           
полуутонуть                    2.0                           
горячечный                     1.699                         
заблестеть                     1.301                         
взвизгнуть                     2.0                           
частность                      1.1549                        
фыркнуть                       1.0969                        
мотив                          0.9208                        
контроль                       0.7959                        
законно                        2.0                           
вытеснить                      1.5229                        
вклад                          1.301                         
меньшинство                    1.699                         
расточительный                 2.0                           
финансы                        2.0                           
алчность                       2.0                           
престиж                        2.0                           
сверкнуть                      1.699                         
злоба                          1.699                         
единство                       1.3979                        
безопасный                     0.8239                        
козни                          2.0                           
экономический                  1.2218                        
объединить                     1.5229                        
истекать                       2.0                           
пена                           1.3979                        
верность                       1.699                         
хихикнуть                      1.2218                        
заслонять                      2.0                           
проплывать                     2.0                           
глыба                          1.699                         
звездолёт                      1.699                         
яхтсмен                        2.0                           
генро                          1.699                         
полупогаснуть                  2.0                           
ангара                         2.0                           
зорко                          2.0                           
повышенный                     1.3979                        
балюстрада                     2.0                           
непрезентабельный              2.0                           
бриться                        1.5229                        
маркиса                        2.0                           
беззвучно                      1.0458                        
димоновый                      2.0                           
осматривать                    1.5229                        
самозванец                     2.0                           
неплохо                        0.8861                        
посудина                       2.0                           
покупатель                     2.0                           
консервированный               2.0                           
мясо                           1.3979                        
фрукт                          1.301                         
жадность                       2.0                           
неглубокий                     2.0                           
справиться                     0.7959                        
модель                         0.9208                        
превосходно                    1.699                         
беспечность                    2.0                           
запросить                      1.5229                        
башня                          1.699                         
взлётный                       1.5229                        
колодец                        1.699                         
заполниться                    1.3979                        
сегмент                        1.699                         
манёвренность                  1.5229                        
ускориться                     2.0                           
волшебство                     2.0                           
порывисто                      1.5229                        
диск                           1.301                         
соскользнуть                   1.301                         
позёвывать                     2.0                           
полумесяц                      2.0                           
примерно                       0.6021                        
дуть                           1.1549                        
сдержанно                      1.2218                        
отчеканить                     2.0                           
основной                       1.301                         
хитрить                        1.699                         
организовать                   0.9586                        
разбогатеть                    2.0                           
имущество                      2.0                           
корчиться                      1.5229                        
невероятно                     0.6576                        
арестовать                     1.0                           
ускользать                     1.3979                        
проделать                      0.9586                        
поразительно                   1.2218                        
рекордный                      2.0                           
свыше                          2.0                           
девять                         1.3979                        
неведение                      1.5229                        
ознакомиться                   1.5229                        
ситуация                       0.4685                        
подразумевать                  1.3979                        
ренегат                        2.0                           
теплоизлучающий                2.0                           
непогрешимый                   1.699                         
межконтинентальный             2.0                           
поимка                         1.699                         
разведчик                      1.5229                        
планировать                    1.3979                        
экстерриториальность           2.0                           
практически                    0.5528                        
неприкосновенный               2.0                           
миновать                       1.0                           
прибытие                       1.0458                        
отправление                    2.0                           
трюм                           2.0                           
планетный                      1.0458                        
выскальзывать                  1.699                         
гирокорабль                    2.0                           
лопасть                        2.0                           
сигнал                         0.6576                        
истребитель                    2.0                           
сморщенный                     1.699                         
иглопушок                      2.0                           
задвигаться                    1.699                         
коротковолновый                1.3979                        
приёмник                       1.3979                        
закашляться                    1.699                         
полуистерический               2.0                           
вертикально                    2.0                           
сковать                        1.2218                        
эскадрилья                     2.0                           
стража                         1.2218                        
новоприбывший                  2.0                           
непринуждённый                 1.301                         
воздерживаться                 2.0                           
саркитсткий                    2.0                           
дрогнуть                       1.301                         
возмущённо                     1.301                         
прилететь                      0.7696                        
мелодрама                      1.5229                        
гадкий                         2.0                           
ерунда                         1.0969                        
дюжина                         1.1549                        
рыжий                          2.0                           
парик                          2.0                           
вождь                          1.301                         
перечеркнуть                   2.0                           
конституция                    1.699                         
нарушение                      0.8861                        
подло                          2.0                           
гиропорт                       2.0                           
запихнуть                      1.5229                        
гироплан                       2.0                           
тронуть                        1.0969                        
союз                           1.699                         
узловатый                      2.0                           
промедлить                     2.0                           
файфовый                       2.0                           
заработать                     1.2218                        
заклеймить                     2.0                           
перебежчик                     2.0                           
напевать                       2.0                           
отбивать                       1.699                         
захват                         1.3979                        
уменьшиться                    2.0                           
удовлетворение                 1.0969                        
саркитка                       2.0                           
капризно                       2.0                           
определённо                    1.0969                        
ущемлять                       2.0                           
неподалёку                     1.3979                        
понизиться                     1.3979                        
конфиденциально                1.5229                        
притронуться                   2.0                           
кулачок                        2.0                           
туземка                        2.0                           
шкафчик                        2.0                           
бинокль                        2.0                           
кораблик                       2.0                           
красноватый                    1.2218                        
кормовой                       2.0                           
дюза                           2.0                           
охраняться                     1.301                         
подозрение                     0.7212                        
угрюмо                         1.3979                        
восточный                      1.5229                        
корма                          2.0                           
положиться                     1.5229                        
расстрелять                    1.5229                        
изменник                       1.5229                        
неспособный                    1.301                         
уволить                        1.3979                        
предпочтительный               1.699                         
стойко                         1.5229                        
пульсолуч                      2.0                           
книзу                          2.0                           
ярд                            1.699                         
прорваться                     2.0                           
холодок                        1.699                         
клеймо                         2.0                           
медальон                       2.0                           
опознание                      2.0                           
выглядывать                    2.0                           
сверхроскошный                 2.0                           
выдавить                       1.2218                        
дверца                         1.5229                        
роскошный                      1.3979                        
попятиться                     2.0                           
вжаться                        2.0                           
благодетельница                2.0                           
повелительно                   2.0                           
мчаться                        1.5229                        
лацкан                         2.0                           
куртка                         1.301                         
досадливо                      2.0                           
прохлопать                     2.0                           
наивность                      2.0                           
допрос                         1.2218                        
ухватиться                     2.0                           
испытующий                     1.699                         
подуть                         2.0                           
побелеть                       1.1549                        
радиофон                       2.0                           
минутка                        1.0969                        
стереоскопический              2.0                           
фотоаппарат                    2.0                           
словечко                       1.699                         
осунуться                      1.699                         
ароматный                      2.0                           
двусмысленность                2.0                           
соединиться                    2.0                           
файфома                        1.699                         
беззаботно                     1.5229                        
пузырёк                        1.699                         
эмигрант                       2.0                           
иностранный                    1.699                         
уроженец                       2.0                           
посовещаться                   2.0                           
целиком                        1.2218                        
перебой                        2.0                           
поддать                        1.699                         
мирлином                       2.0                           
похитить                       1.0969                        
сомнина                        2.0                           
риск                           0.7959                        
ничегонеделание                2.0                           
пикантный                      2.0                           
снимок                         1.0969                        
податливость                   2.0                           
поцеловаться                   2.0                           
несчётный                      1.301                         
насильно                       1.5229                        
опубликовать                   1.1549                        
снимка                         2.0                           
полдень                        1.301                         
отсрочить                      2.0                           
бесконечность                  1.3979                        
рискнуть                       1.0458                        
опознать                       1.699                         
усовершенствование             2.0                           
скряга                         2.0                           
потёртый                       2.0                           
темнокожий                     1.3979                        
шерстистоволосый               2.0                           
ускорить                       1.5229                        
предатель                      0.9586                        
принцип                        0.7212                        
претендовать                   1.2218                        
звание                         1.2218                        
одурачить                      1.699                         
поджигатель                    2.0                           
продолжить                     0.5528                        
капитуляция                    1.699                         
диктаторство                   2.0                           
темя                           2.0                           
россказни                      2.0                           
оскорбление                    1.301                         
сниться                        2.0                           
тюремный                       2.0                           
камера                         1.5229                        
отдельно                       1.5229                        
сказочно                       1.699                         
телесный                       2.0                           
фотография                     0.7959                        
потупиться                     2.0                           
одновременно                   0.6021                        
ошеломлять                     1.5229                        
дрессировать                   2.0                           
перехват                       1.3979                        
выхаживать                     2.0                           
диагноз                        1.2218                        
обвинитель                     1.5229                        
прорычать                      1.699                         
прокурор                       2.0                           
ледяной                        1.0969                        
выручить                       2.0                           
установить                     0.7212                        
гарантия                       1.301                         
акт                            1.3979                        
финансировать                  2.0                           
годовой                        2.0                           
бюджет                         1.5229                        
ежедневный                     1.699                         
репарация                      2.0                           
оккупировать                   1.699                         
временно                       1.3979                        
оккупация                      2.0                           
предположить                   0.6021                        
правдивый                      1.301                         
постепенный                    1.5229                        
откровение                     2.0                           
цепкий                         2.0                           
ссориться                      2.0                           
вероятный                      1.5229                        
безгубый                       2.0                           
мускул                         1.5229                        
карлик                         0.7212                        
налиться                       1.699                         
настойчиво                     1.0458                        
вскарабкаться                  1.699                         
храниться                      0.8861                        
нависнуть                      1.301                         
показание                      1.301                         
упрямый                        1.301                         
ненадёжный                     1.5229                        
выдача                         2.0                           
заинтересованный               1.2218                        
слежка                         1.3979                        
летать                         0.6778                        
экономика                      1.699                         
выпятить                       1.5229                        
ставка                         1.3979                        
уплывать                       2.0                           
забрасывать                    2.0                           
удача                          1.5229                        
сверхчеловеческий              2.0                           
победитель                     1.5229                        
паралич                        1.301                         
пронзительный                  1.3979                        
хохотать                       2.0                           
адский                         2.0                           
достаточный                    1.0                           
познание                       1.0969                        
подстраивать                   2.0                           
участвовать                    0.8539                        
раскладывать                   2.0                           
забитый                        2.0                           
пищать                         2.0                           
послужной                      2.0                           
отыскать                       1.0458                        
пометка                        2.0                           
персонал                       1.2218                        
пачкать                        2.0                           
пригородный                    1.699                         
зонд                           0.9208                        
госпиталь                      1.301                         
операция                       1.1549                        
попутно                        1.699                         
разрушать                      1.3979                        
сознательный                   1.699                         
разузнать                      1.699                         
силовой                        1.1549                        
инженер                        1.0969                        
закоротить                     2.0                           
зачесться                      2.0                           
стадия                         1.1549                        
предшествовать                 1.699                         
взрыв                          0.9586                        
восклицание                    1.5229                        
бабахнуть                      2.0                           
облачко                        1.5229                        
табачный                       2.0                           
углеродный                     2.0                           
каталитический                 2.0                           
изумлённо                      1.5229                        
цивилизация                    0.6778                        
отмечаться                     2.0                           
ядерный                        1.0                           
нейтрон                        1.699                         
фаза                           1.301                         
промежуточный                  1.699                         
использоваться                 1.0458                        
катализатор                    2.0                           
доисторический                 1.5229                        
непосредственный               1.301                         
катализ                        2.0                           
подстёгивать                   2.0                           
ускорять                       1.699                         
разогревать                    2.0                           
захватывать                    1.301                         
микроскопически                1.699                         
влиять                         0.9586                        
миллионолетие                  2.0                           
просочиться                    1.5229                        
возрастать                     1.2218                        
разлетаться                    1.3979                        
чудовищный                     2.0                           
предлагаться                   2.0                           
всерьёз                        0.7447                        
сравнить                       1.1549                        
радиация                       1.0969                        
немедленный                    1.3979                        
эвакуация                      1.0458                        
дешёвый                        1.2218                        
существенный                   1.301                         
предвзрывной                   2.0                           
взаимосвязанный                1.699                         
показатель                     2.0                           
ультрафиолетовый               1.3979                        
инфракрасный                   1.0969                        
магнитный                      1.0969                        
эмиссия                        2.0                           
электрон                       1.699                         
биохимик                       1.699                         
биохимия                       2.0                           
ценность                       1.3979                        
окупить                        1.3979                        
тысячекратно                   2.0                           
поторговаться                  1.699                         
рикова                         2.0                           
переселение                    1.301                         
загонять                       2.0                           
дичь                           1.699                         
шкура                          1.699                         
кара                           1.699                         
объединение                    2.0                           
квадрильон                     2.0                           
эпилог                         1.699                         
поживать                       1.5229                        
печально                       1.5229                        
эвакуировать                   1.1549                        
безразличный                   0.8861                        
враждебный                     1.0                           
интенсивность                  1.2218                        
начальный                      1.301                         
переселенец                    2.0                           
лагерь                         1.301                         
неофициально                   1.699                         
общественность                 1.699                         
айзек                          1.699                         
вкрадчивый                     1.5229                        
шуршать                        1.5229                        
фаррилла                       0.9586                        
мутный                         2.0                           
отогнать                       1.5229                        
трещание                       2.0                           
исходящий                      1.5229                        
промямлить                     1.699                         
громкость                      1.699                         
фаррилл                        1.699                         
заорать                        1.5229                        
раздражённо                    0.5086                        
спереть                        2.0                           
заковылять                     2.0                           
видеофон                       1.5229                        
буркнуть                       1.1549                        
сандёр                         1.3979                        
джоунтить                      1.0                           
нащупать                       1.1549                        
датчик                         1.699                         
выругаться                     2.0                           
лучик                          1.5229                        
одеяло                         1.3979                        
зарыться                       2.0                           
будить                         1.699                         
циферблат                      2.0                           
земной                         0.4318                        
постройка                      1.5229                        
дань                           1.699                         
тысячелетний                   1.5229                        
защитный                       0.7959                        
укрыть                         1.699                         
примитивный                    0.7959                        
атомный                        1.0969                        
бомба                          1.0969                        
непоправимый                   1.5229                        
ущерб                          1.301                         
царить                         0.699                         
режим                          2.0                           
экономия                       2.0                           
автоматика                     1.699                         
пробуждение                    2.0                           
сопутствовать                  1.5229                        
темень                         2.0                           
насторожить                    1.5229                        
витать                         1.699                         
ощущаться                      1.0969                        
сглотнуть                      2.0                           
сгущаться                      1.699                         
вентиляционный                 1.699                         
предпринять                    0.9208                        
ранее                          1.1549                        
хрустальный                    1.699                         
люстра                         1.699                         
потирать                       1.301                         
опухнуть                       1.699                         
дружище                        2.0                           
втянуть                        2.0                           
безрезультатно                 1.301                         
распоясаться                   2.0                           
обслуживающий                  1.699                         
гостиничный                    2.0                           
воспитание                     1.301                         
норма                          1.3979                        
плевать                        2.0                           
кондиционирование              2.0                           
кошмарный                      1.3979                        
психосоматический              2.0                           
мерцание                       1.699                         
футболка                       2.0                           
экипировать                    2.0                           
шлёпанец                       2.0                           
звуконепроницаемый             2.0                           
покрытие                       1.301                         
вдавить                        2.0                           
щелчок                         2.0                           
надавить                       1.5229                        
атлетический                   1.699                         
мускулатура                    2.0                           
фарс                           1.699                         
предохранитель                 2.0                           
стоп                           1.5229                        
дебильный                      2.0                           
шуточка                        2.0                           
несложно                       1.301                         
шалопай                        2.0                           
отключиться                    2.0                           
старина                        1.2218                        
закатиться                     1.699                         
цилиндрик                      1.5229                        
находка                        1.699                         
хлороформ                      2.0                           
проделка                       2.0                           
проспать                       1.699                         
предоставить                   0.7447                        
воспроизвести                  1.3979                        
подбросить                     1.699                         
цилиндр                        1.2218                        
захлопнуть                     1.5229                        
препарат                       2.0                           
носовой                        1.699                         
пятнадцать                     1.301                         
предохранить                   2.0                           
выветриться                    2.0                           
извне                          1.301                         
заблокировать                  1.699                         
детишки                        2.0                           
выломать                       1.699                         
тренировать                    2.0                           
нащупывать                     2.0                           
замок                          1.5229                        
ужаснуться                     1.5229                        
отъехать                       2.0                           
стройность                     2.0                           
умозаключение                  1.699                         
прислушаться                   1.301                         
уловить                        0.8239                        
приглушить                     1.699                         
уловимый                       2.0                           
счётчик                        1.699                         
шесть                          1.0969                        
фут                            1.0458                        
студент                        1.5229                        
приобретать                    1.301                         
предохранение                  2.0                           
пошарить                       2.0                           
наручный                       2.0                           
индикатор                      1.699                         
радиационный                   1.301                         
заражение                      1.3979                        
ассоциироваться                1.5229                        
прохождение                    1.3979                        
фотоэлектрический              1.699                         
необратимый                    1.5229                        
подготовиться                  1.2218                        
кремация                       1.699                         
отлечь                         2.0                           
поразмыслить                   1.699                         
засомневаться                  1.699                         
незаконный                     1.699                         
хранение                       1.699                         
весомый                        2.0                           
преднамеренный                 1.699                         
