Term                           IDF                           
симонов                        2.0                           
скотт                          0.7959                        
слонимский                     2.0                           
соколов                        0.7959                        
солженицын                     0.7959                        
сологуба                       0.7959                        
солоухин                       0.7959                        
свободный                      0.3872                        
тема                           0.6198                        
стивенсон                      0.7959                        
стругацкий                     0.7959                        
сумароков                      2.0                           
сурков                         2.0                           
тарковский                     0.7959                        
твардовский                    0.7959                        
твен                           0.7959                        
тендряк                        0.7959                        
токарев                        2.0                           
толстой                        0.7447                        
трифонов                       0.7959                        
троепольский                   0.7959                        
тургенев                       0.7959                        
тынян                          0.7959                        
тэффи                          0.7959                        
тютчев                         0.7959                        
фет                            0.7959                        
уайльд                         0.7959                        
улицкай                        0.7959                        
фадеев                         0.7959                        
флобер                         0.7959                        
фонвизин                       0.7959                        
хемингуэй                      0.7959                        
хлебников                      2.0                           
ходасевич                      1.699                         
цветаев                        0.7959                        
чаковский                      2.0                           
чернышевский                   0.7959                        
чехов                          0.7959                        
чивилихин                      2.0                           
чуковский                      2.0                           
шаламов                        0.7959                        
шахан                          2.0                           
шевчук                         2.0                           
шекспир                        0.7959                        
шмелёв                         0.7959                        
шолохов                        0.7959                        
шукшин                         0.7959                        
щербаков                       0.7959                        
экзюпери                       0.7959                        
юхнина                         2.0                           
aminisполные                   0.7447                        
абэ                            0.7959                        
аввакум                        0.7959                        
авдеев                         0.5086                        
азимов                         0.0655                        
аким                           0.7959                        
аксаков                        0.7959                        
акунин                         0.7959                        
акутагава                      0.7959                        
алдан                          0.7959                        
алигера                        0.7959                        
амад                           0.7959                        
арцыбашев                      0.7959                        
байрон                         0.5686                        
белля                          0.7959                        
берджес                        0.7959                        
бернс                          0.7959                        
боборыкин                      0.7959                        
бодлер                         0.7959                        
борхес                         0.7959                        
брэдбрать                      0.7959                        
булгарин                       0.7959                        
войнич                         0.7959                        
вольтер                        0.7959                        
воннегута                      0.7959                        
вяземский                      0.7959                        
габба                          0.7959                        
гауф                           0.7959                        
гашек                          0.7959                        
ярослав                        0.7959                        
геродот                        0.7959                        
голдинга                       0.7959                        
головкин                       0.7959                        
гомер                          0.7959                        
даррелла                       0.7959                        
дж                             0.7959                        
дефо                           0.7959                        
джалиль                        0.7959                        
джером                         0.7959                        
джованьоль                     0.7959                        
джоэль                         0.7959                        
довлатов                       0.7959                        
дойло                          0.7959                        
драгунский                     0.7959                        
еврипид                        0.7959                        
екимов                         0.7959                        
железников                     0.7959                        
жигулин                        0.7959                        
жид                            0.7959                        
житков                         0.7959                        
ибсен                          0.7959                        
ирвинга                        0.7959                        
исаковский                     0.7959                        
кедрина                        0.7959                        
кинг                           0.7959                        
киплинг                        0.7959                        
конрад                         0.7959                        
констан                        0.7959                        
корчагин                       0.7959                        
коэльо                         0.7959                        
крапивина                      0.7959                        
кристи                         0.7959                        
кун                            0.7959                        
кэррол                         0.7959                        
лажечник                       0.7959                        
лем                            0.7959                        
линдгрен                       0.7959                        
логфелло                       0.7959                        
мариенгоф                      0.7959                        
маркес                         0.7959                        
мережковский                   0.7959                        
михалков                       0.7959                        
мордовец                       0.7959                        
никитин                        0.7959                        
нилина                         0.7959                        
новиков                        0.7959                        
обручев                        0.7959                        
одоевский                      0.7959                        
олдридж                        0.7959                        
олеша                          0.7959                        
панаев                         0.7959                        
перро                          0.7959                        
песня                          0.6576                        
роланд                         0.7959                        
пиранделло                     0.7959                        
погодин                        0.7959                        
погорельский                   0.7959                        
ремарк                         0.7959                        
родарить                       0.7959                        
ростан                         0.7959                        
роулинга                       0.7959                        
руставели                      0.7959                        
светлов                        0.7959                        
свифт                          0.7959                        
селина                         0.7959                        
серафимович                    0.7959                        
славников                      0.7959                        
сомовый                        0.7959                        
сэлинджер                      0.7959                        
толкиен                        0.7959                        
тредиаковский                  0.7959                        
успенский                      0.7959                        
уэллс                          0.7959                        
филат                          0.7959                        
фольклор                       0.7959                        
фурманов                       0.7959                        
хаггарда                       0.7959                        
хайям                          0.7959                        
хармс                          0.7959                        
хейль                          0.7959                        
чёрный                         0.284                         
саша                           0.7959                        
шварц                          0.5528                        
шергин                         0.7959                        
шиллер                         0.7959                        
шишковы                        0.7959                        
шоу                            0.7959                        
эзоп                           0.7959                        
эртель                         0.7959                        
эсхилый                        0.7959                        
янссон                         0.7959                        
яшин                           0.7959                        
aminisкритические              1.699                         
белинский                      1.699                         
осоргин                        1.699                         
абрамов                        1.699                         
алька                          1.699                         
бабиль                         1.699                         
безотцовщина                   1.699                         
брат                           0.9586                        
сестра                         0.7959                        
валенок                        1.699                         
зима                           0.9208                        
лето                           1.0                           
деревянный                     1.0458                        
конь                           1.2218                        
дом                            0.2757                        
сёмужка                        1.699                         
рука                           0.0757                        
колено                         0.6383                        
аввакумов                      1.699                         
мамониха                       1.699                         
плакать                        0.8539                        
лошадь                         1.0458                        
пелагея                        1.699                         
поездка                        1.1549                        
прошлое                        0.5376                        
детский                        0.7447                        
провал                         1.1549                        
сжечь                          1.5229                        
карта                          0.699                         
стена                          0.3979                        
тайный                         0.9208                        
свидание                       0.8239                        
тоталоскоп                     1.699                         
превратиться                   0.6576                        
палка                          1.301                         
ледниковый                     1.3979                        
период                         0.7447                        
чужое                          1.5229                        
лицо                           0.1024                        
житие                          1.699                         
протопоп                       1.699                         
написать                       0.7959                        
варенька                       0.7959                        
записка                        0.8539                        
тамарин                        0.7959                        
aminisполное                   0.5376                        
скачать                        0.0706                        
рассказ                        0.6021                        
пван                           0.8861                        
василиевич                     1.3979                        
весна                          1.0458                        
возвратиться                   0.5686                        
благополучно                   0.8539                        
родовой                        1.699                         
редькино                       1.5229                        
который                        0.0809                        
обстоятельство                 0.5229                        
ездить                         0.8861                        
перезакладывать                1.699                         
московский                     1.699                         
